Rank_current_season,Hotness Score_current_season,Time_current_season,Location_current_season,Away Team Rank_current_season,Away Team_current_season,Home Team Rank_current_season,Home Team_current_season,Away Team DraftKings_current_season,Away Team Covers_current_season,Home Team DraftKings_current_season,Home Team Covers_current_season,Away Team Spread_current_season,Away Team Odds_current_season,Away Team Underdog_current_season,Home Team Spread_current_season,Home Team Odds_current_season,Home Team Underdog_current_season,Away Team Team_current_season,Away Team all_games_ATS Record_current_season,Away Team all_games_Cover %_current_season,Away Team all_games_MOV_current_season,Away Team all_games_ATS +/-_current_season,Away Team is_away_ATS Record_current_season,Away Team is_away_Cover %_current_season,Away Team is_away_MOV_current_season,Away Team is_away_ATS +/-_current_season,Home Team Team_current_season,Home Team all_games_ATS Record_current_season,Home Team all_games_Cover %_current_season,Home Team all_games_MOV_current_season,Home Team all_games_ATS +/-_current_season,Home Team is_home_ATS Record_current_season,Home Team is_home_Cover %_current_season,Home Team is_home_MOV_current_season,Home Team is_home_ATS +/-_current_season,Underdog is_dog Team_current_season,Underdog is_dog Spread_current_season,Underdog is_dog Odds_current_season,Underdog is_dog ATS Record_current_season,Underdog is_dog Cover %_current_season,Underdog is_dog MOV_current_season,Underdog is_dog ATS +/-_current_season,Favorite is_fav Team_current_season,Favorite is_fav Spread_current_season,Favorite is_fav Odds_current_season,Favorite is_fav ATS Record_current_season,Favorite is_fav Cover %_current_season,Favorite is_fav MOV_current_season,Favorite is_fav ATS +/-_current_season,Rank_all_time,Hotness Score_all_time,Time_all_time,Location_all_time,Away Team Rank_all_time,Away Team_all_time,Home Team Rank_all_time,Home Team_all_time,Away Team DraftKings_all_time,Away Team Covers_all_time,Home Team DraftKings_all_time,Home Team Covers_all_time,Away Team Spread_all_time,Away Team Odds_all_time,Away Team Underdog_all_time,Home Team Spread_all_time,Home Team Odds_all_time,Home Team Underdog_all_time,Away Team Team_all_time,Away Team all_games_ATS Record_all_time,Away Team all_games_Cover %_all_time,Away Team all_games_MOV_all_time,Away Team all_games_ATS +/-_all_time,Away Team is_away_ATS Record_all_time,Away Team is_away_Cover %_all_time,Away Team is_away_MOV_all_time,Away Team is_away_ATS +/-_all_time,Home Team Team_all_time,Home Team all_games_ATS Record_all_time,Home Team all_games_Cover %_all_time,Home Team all_games_MOV_all_time,Home Team all_games_ATS +/-_all_time,Home Team is_home_ATS Record_all_time,Home Team is_home_Cover %_all_time,Home Team is_home_MOV_all_time,Home Team is_home_ATS +/-_all_time,Underdog is_dog Team_all_time,Underdog is_dog Spread_all_time,Underdog is_dog Odds_all_time,Underdog is_dog ATS Record_all_time,Underdog is_dog Cover %_all_time,Underdog is_dog MOV_all_time,Underdog is_dog ATS +/-_all_time,Favorite is_fav Team_all_time,Favorite is_fav Spread_all_time,Favorite is_fav Odds_all_time,Favorite is_fav ATS Record_all_time,Favorite is_fav Cover %_all_time,Favorite is_fav MOV_all_time,Favorite is_fav ATS +/-_all_time,Rank_last_10_seasons,Hotness Score_last_10_seasons,Time_last_10_seasons,Location_last_10_seasons,Away Team Rank_last_10_seasons,Away Team_last_10_seasons,Home Team Rank_last_10_seasons,Home Team_last_10_seasons,Away Team DraftKings_last_10_seasons,Away Team Covers_last_10_seasons,Home Team DraftKings_last_10_seasons,Home Team Covers_last_10_seasons,Away Team Spread_last_10_seasons,Away Team Odds_last_10_seasons,Away Team Underdog_last_10_seasons,Home Team Spread_last_10_seasons,Home Team Odds_last_10_seasons,Home Team Underdog_last_10_seasons,Away Team Team_last_10_seasons,Away Team all_games_ATS Record_last_10_seasons,Away Team all_games_Cover %_last_10_seasons,Away Team all_games_MOV_last_10_seasons,Away Team all_games_ATS +/-_last_10_seasons,Away Team is_away_ATS Record_last_10_seasons,Away Team is_away_Cover %_last_10_seasons,Away Team is_away_MOV_last_10_seasons,Away Team is_away_ATS +/-_last_10_seasons,Home Team Team_last_10_seasons,Home Team all_games_ATS Record_last_10_seasons,Home Team all_games_Cover %_last_10_seasons,Home Team all_games_MOV_last_10_seasons,Home Team all_games_ATS +/-_last_10_seasons,Home Team is_home_ATS Record_last_10_seasons,Home Team is_home_Cover %_last_10_seasons,Home Team is_home_MOV_last_10_seasons,Home Team is_home_ATS +/-_last_10_seasons,Underdog is_dog Team_last_10_seasons,Underdog is_dog Spread_last_10_seasons,Underdog is_dog Odds_last_10_seasons,Underdog is_dog ATS Record_last_10_seasons,Underdog is_dog Cover %_last_10_seasons,Underdog is_dog MOV_last_10_seasons,Underdog is_dog ATS +/-_last_10_seasons,Favorite is_fav Team_last_10_seasons,Favorite is_fav Spread_last_10_seasons,Favorite is_fav Odds_last_10_seasons,Favorite is_fav ATS Record_last_10_seasons,Favorite is_fav Cover %_last_10_seasons,Favorite is_fav MOV_last_10_seasons,Favorite is_fav ATS +/-_last_10_seasons
1,98.7,12:00 PM,Mackey Arena,11,Maryland,21,Purdue,Maryland,Maryland,Purdue,Purdue,+4.5,−112,True,-4.5,−108,False,Maryland,5-4-0,55.6%,27.7,7.1,0,0,0.0,0.0,Purdue,4-5-0,44.4%,8.2,-0.4,3-2-0,60.0%,18.2,+2.9,Maryland,+4.5,−112,0,0,0.0,0.0,Purdue,-4.5,−108,3-3-0,50.0%,15.7,0.8,1,98.7,12:00 PM,Mackey Arena,11,Maryland,21,Purdue,Maryland,Maryland,Purdue,Purdue,+4.5,−112,True,-4.5,−108,False,Maryland,410-393-17,51.1%,7.2,0.1,129-135-8,48.9%,-1.9,0.2,Purdue,420-420-21,50.0%,6.8,0.4,205-177-10,53.7%,13.9,1.8,Maryland,+4.5,−112,138-136-6,50.4%,-4.9,0.6,Purdue,-4.5,−108,301-283-15,51.5%,11.0,0.6,1,98.7,12:00 PM,Mackey Arena,11,Maryland,21,Purdue,Maryland,Maryland,Purdue,Purdue,+4.5,−112,True,-4.5,−108,False,Maryland,160-164-8,49.4%,5.9,0.1,52-48-5,52.0%,-1.9,0.9,Purdue,175-160-11,52.2%,9.9,1.0,85-66-5,56.3%,17.5,2.8,Maryland,+4.5,−112,59-58-4,50.4%,-4.0,0.7,Purdue,-4.5,−108,143-129-9,52.6%,12.4,1.1
2,98.1,5:00 PM,Moody Center,15,Connecticut,32,Texas,UConn,Connecticut,Texas,Texas,+1,−105,True,-1,−115,False,Connecticut,4-4-1,50.0%,20.9,-3.7,0,0,0.0,0.0,Texas,4-4-0,50.0%,19.4,-1.1,2-2-0,50.0%,36.5,+1.0,Connecticut,+1,−105,0,0,0.0,0.0,Texas,-1,−115,4-4-0,50.0%,19.4,-1.1,2,98.1,5:00 PM,Moody Center,15,Connecticut,32,Texas,UConn,Connecticut,Texas,Texas,+1,−105,True,-1,−115,False,Connecticut,442-407-12,52.1%,8.8,0.4,137-142-1,49.1%,1.2,-0.1,Texas,410-428-12,48.9%,6.7,0.0,185-197-5,48.4%,13.5,0.5,Connecticut,+1,−105,104-93-3,52.8%,-4.4,1.0,Texas,-1,−115,262-298-9,46.8%,9.9,-0.4,2,98.1,5:00 PM,Moody Center,15,Connecticut,32,Texas,UConn,Connecticut,Texas,Texas,+1,−105,True,-1,−115,False,Connecticut,178-154-6,53.6%,7.5,0.7,52-52-0,50.0%,-0.5,-0.4,Texas,161-173-3,48.2%,5.2,0.0,77-94-2,45.0%,11.1,0.0,Connecticut,+1,−105,43-49-2,46.7%,-7.1,-1.1,Texas,-1,−115,92-116-2,44.2%,10.0,-1.0
3,97.8,3:00 PM,Dickies Arena,22,Texas Tech,33,Texas A&M,Texas Tech,Texas Tech,Texas A&M,Texas A&M-CC,-2,−110,False,+2,−110,True,Texas Tech,4-4-0,50.0%,22.3,-0.7,0,0,0.0,0.0,Texas A&M,4-4-1,50.0%,10.8,-2.1,4-1-0,80.0%,20.4,+1.2,Texas A&M,+2,−110,0,0,0.0,0.0,Texas Tech,-2,−110,4-4-0,50.0%,22.3,-0.7,3,97.8,3:00 PM,Dickies Arena,22,Texas Tech,33,Texas A&M,Texas Tech,Texas Tech,Texas A&M,Texas A&M-CC,-2,−110,False,+2,−110,True,Texas Tech,374-416-8,47.3%,2.9,-0.4,124-158-4,44.0%,-7.0,-1.7,Texas A&M,384-353-12,52.1%,2.8,-0.1,178-167-4,51.6%,9.1,-0.3,Texas A&M,+2,−110,186-178-5,51.1%,-7.6,0.0,Texas Tech,-2,−110,206-201-6,50.6%,10.9,0.5,3,97.8,3:00 PM,Dickies Arena,22,Texas Tech,33,Texas A&M,Texas Tech,Texas Tech,Texas A&M,Texas A&M-CC,-2,−110,False,+2,−110,True,Texas Tech,160-168-4,48.8%,7.3,0.7,45-51-2,46.9%,-4.1,-0.9,Texas A&M,164-156-4,51.3%,4.0,-0.1,75-80-1,48.4%,8.9,-1.1,Texas A&M,+2,−110,65-61-1,51.6%,-5.0,1.0,Texas Tech,-2,−110,110-111-2,49.8%,12.7,0.8
4,97.2,6:00 PM,Matthew Knight Arena,17,Ucla,28,Oregon,UCLA,UCLA,Oregon,Oregon,+3.5,−108,True,-3.5,−112,False,Ucla,5-3-0,62.5%,25.1,4.8,0,0,0.0,0.0,Oregon,6-3-0,66.7%,12.2,3.3,2-2-0,50.0%,19.3,+0.6,Ucla,+3.5,−108,0,0,0.0,0.0,Oregon,-3.5,−112,4-3-0,57.1%,14.0,1.1,4,97.2,6:00 PM,Matthew Knight Arena,17,Ucla,28,Oregon,UCLA,UCLA,Oregon,Oregon,+3.5,−108,True,-3.5,−112,False,Ucla,440-431-16,50.5%,5.8,0.2,140-134-6,51.1%,-0.3,0.6,Oregon,439-411-17,51.7%,5.1,0.5,218-201-8,52.0%,11.2,1.1,Ucla,+3.5,−108,138-133-3,50.9%,-5.2,0.6,Oregon,-3.5,−112,279-267-13,51.1%,9.4,0.2,4,97.2,6:00 PM,Matthew Knight Arena,17,Ucla,28,Oregon,UCLA,UCLA,Oregon,Oregon,+3.5,−108,True,-3.5,−112,False,Ucla,169-170-7,49.9%,6.3,0.3,46-57-2,44.7%,-0.4,-0.2,Oregon,190-163-3,53.8%,6.9,0.6,97-74-1,56.7%,13.5,2.1,Ucla,+3.5,−108,50-52-1,49.0%,-5.5,0.2,Oregon,-3.5,−112,139-122-2,53.3%,10.1,0.4
5,97.0,6:00 PM,KFC Yum! Center,1,Duke,51,Louisville,Duke,Duke,Louisville,Louisville,-8.5,−112,False,+8.5,−108,True,Duke,5-3-0,62.5%,20.1,3.8,1-0-0,100.0%,14.0,15.5,Louisville,4-4-0,50.0%,10.3,0.2,2-3-0,40.0%,10.0,-5.8,Louisville,+8.5,−108,1-0-0,100.0%,28.0,32.5,Duke,-8.5,−112,4-3-0,57.1%,21.0,2.1,5,97.0,6:00 PM,KFC Yum! Center,1,Duke,51,Louisville,Duke,Duke,Louisville,Louisville,-8.5,−112,False,+8.5,−108,True,Duke,483-437-19,52.5%,13.9,0.5,139-130-4,51.7%,7.2,0.3,Louisville,423-412-23,50.7%,7.2,0.3,208-214-15,49.3%,12.0,0.0,Louisville,+8.5,−108,112-121-7,48.1%,-6.9,-0.3,Duke,-8.5,−112,443-404-17,52.3%,14.2,0.3,5,97.0,6:00 PM,KFC Yum! Center,1,Duke,51,Louisville,Duke,Duke,Louisville,Louisville,-8.5,−112,False,+8.5,−108,True,Duke,183-168-8,52.1%,12.1,0.3,48-52-3,48.0%,4.8,-0.2,Louisville,145-163-9,47.1%,3.9,-0.7,78-88-6,47.0%,9.2,-0.8,Louisville,+8.5,−108,54-68-3,44.3%,-8.8,-1.3,Duke,-8.5,−112,163-150-6,52.1%,13.5,0.0
6,96.5,1:00 PM,Mizzou Arena,9,Kansas,53,Missouri,Kansas,Kansas,Missouri,Missouri,-7,−108,False,+7,−112,True,Kansas,4-4-0,50.0%,13.1,-1.1,0-1-0,0.0%,-13.0,-16.5,Missouri,3-5-0,37.5%,24.4,3.9,3-4-0,42.9%,29.0,+5.1,Missouri,+7,−112,0-1-0,0.0%,-8.0,-4.5,Kansas,-7,−108,3-4-0,42.9%,14.6,-2.3,6,96.5,1:00 PM,Mizzou Arena,9,Kansas,53,Missouri,Kansas,Kansas,Missouri,Missouri,-7,−108,False,+7,−112,True,Kansas,470-441-14,51.6%,11.8,0.7,142-136-5,51.1%,4.2,-0.3,Missouri,374-406-20,48.0%,3.4,-0.4,187-183-15,50.5%,10.7,0.5,Missouri,+7,−112,166-189-10,46.8%,-7.8,-0.8,Kansas,-7,−108,416-389-12,51.7%,12.7,0.8,6,96.5,1:00 PM,Mizzou Arena,9,Kansas,53,Missouri,Kansas,Kansas,Missouri,Missouri,-7,−108,False,+7,−112,True,Kansas,181-172-5,51.3%,9.2,-0.1,54-53-1,50.5%,2.0,-0.8,Missouri,145-167-7,46.5%,-0.6,-0.8,74-84-5,46.8%,5.5,-0.8,Missouri,+7,−112,85-94-3,47.5%,-8.7,-0.7,Kansas,-7,−108,157-144-4,52.2%,11.3,0.5
7,90.8,12:30 PM,Dickies Arena,73,Vanderbilt,70,Tx Christian,Vanderbilt,Vanderbilt,TCU,Texas Christian,-2.5,−108,False,+2.5,−112,True,Vanderbilt,6-3-0,66.7%,14.6,0.3,1-0-0,100.0%,16.0,10.5,Tx Christian,2-6-0,25.0%,7.6,-4.4,2-3-0,40.0%,18.8,+0.2,Tx Christian,+2.5,−112,0-1-0,0.0%,-12.0,-5.0,Vanderbilt,-2.5,−108,5-3-0,62.5%,16.1,-0.2,7,90.8,12:30 PM,Dickies Arena,73,Vanderbilt,70,Tx Christian,Vanderbilt,Vanderbilt,TCU,Texas Christian,-2.5,−108,False,+2.5,−112,True,Vanderbilt,411-391-17,51.3%,2.7,0.2,156-130-8,54.6%,-4.8,1.0,Tx Christian,352-405-12,46.5%,1.5,-0.4,160-207-5,43.6%,7.5,-0.3,Tx Christian,+2.5,−112,188-223-8,45.7%,-8.8,-0.7,Vanderbilt,-2.5,−108,195-189-7,50.8%,9.3,0.0,7,90.8,12:30 PM,Dickies Arena,73,Vanderbilt,70,Tx Christian,Vanderbilt,Vanderbilt,TCU,Texas Christian,-2.5,−108,False,+2.5,−112,True,Vanderbilt,168-157-7,51.7%,0.9,0.3,65-45-3,59.1%,-5.6,1.3,Tx Christian,157-166-7,48.6%,3.4,-0.2,79-85-4,48.2%,9.3,0.1,Tx Christian,+2.5,−112,69-72-4,48.9%,-7.0,-0.4,Vanderbilt,-2.5,−108,71-68-2,51.1%,10.6,0.6
8,87.2,4:00 PM,FedExForum,124,Arkansas St,34,Memphis,Arkansas State,Arkansas St.,Memphis,Memphis,+13,−108,True,-13,−112,False,Arkansas St,3-5-0,37.5%,7.0,-3.1,1-0-0,100.0%,-9.0,16.5,Memphis,6-2-0,75.0%,6.0,5.6,2-1-0,66.7%,14.0,+5.0,Arkansas St,+13,−108,1-0-0,100.0%,-9.0,16.5,Memphis,-13,−112,2-1-0,66.7%,14.0,5.0,8,87.2,4:00 PM,FedExForum,124,Arkansas St,34,Memphis,Arkansas State,Arkansas St.,Memphis,Memphis,+13,−108,True,-13,−112,False,Arkansas St,349-345-16,50.3%,1.2,-0.1,168-178-10,48.6%,-5.9,-0.2,Memphis,444-394-20,53.0%,7.8,0.7,219-195-13,52.9%,13.4,1.1,Arkansas St,+13,−108,196-181-9,52.0%,-6.9,0.4,Memphis,-13,−112,312-284-16,52.4%,11.3,0.5,8,87.2,4:00 PM,FedExForum,124,Arkansas St,34,Memphis,Arkansas State,Arkansas St.,Memphis,Memphis,+13,−108,True,-13,−112,False,Arkansas St,148-139-6,51.6%,-0.5,-0.2,68-72-4,48.6%,-7.0,-0.5,Memphis,162-156-4,50.9%,5.5,0.5,80-78-2,50.6%,11.0,1.0,Arkansas St,+13,−108,96-82-4,53.9%,-6.6,0.7,Memphis,-13,−112,105-103-4,50.5%,9.9,0.3
9,84.8,12:00 PM,Prudential Center,86,Oklahoma St,121,Seton Hall,Oklahoma State,Oklahoma State,Seton Hall,Seton Hall,-1.5,−110,False,+1.5,−110,True,Oklahoma St,2-5-0,28.6%,5.1,0.0,1-0-0,100.0%,21.0,15.5,Seton Hall,3-6-0,33.3%,1.8,-4.9,1-4-0,20.0%,5.6,-8.4,Seton Hall,+1.5,−110,2-1-0,66.7%,-3.7,1.3,Oklahoma St,-1.5,−110,1-3-0,25.0%,12.5,0.6,9,84.8,12:00 PM,Prudential Center,86,Oklahoma St,121,Seton Hall,Oklahoma State,Oklahoma State,Seton Hall,Seton Hall,-1.5,−110,False,+1.5,−110,True,Oklahoma St,394-394-15,50.0%,5.4,0.4,131-151-6,46.5%,-2.6,-0.2,Seton Hall,389-381-12,50.5%,2.6,0.2,174-192-6,47.5%,7.6,-0.3,Seton Hall,+1.5,−110,202-169-3,54.5%,-5.5,0.9,Oklahoma St,-1.5,−110,248-217-10,53.3%,9.9,0.8,9,84.8,12:00 PM,Prudential Center,86,Oklahoma St,121,Seton Hall,Oklahoma State,Oklahoma State,Seton Hall,Seton Hall,-1.5,−110,False,+1.5,−110,True,Oklahoma St,151-166-6,47.6%,2.1,0.1,55-56-3,49.6%,-4.0,1.2,Seton Hall,170-154-5,52.5%,3.8,0.3,75-78-2,49.0%,9.2,0.4,Seton Hall,+1.5,−110,80-55-0,59.3%,-4.1,1.1,Oklahoma St,-1.5,−110,74-83-4,47.1%,8.3,-0.7
10,80.7,3:00 PM,Pete Maravich Assembly Center,169,Fla Gulf Cst,47,Lsu,FGCU,Florida Gulf Coast,LSU,Louisiana State,N/A,N/A,False,-15,−108,False,Fla Gulf Cst,4-5-0,44.4%,-2.2,2.2,3-1-0,75.0%,-6.3,5.6,Lsu,5-3-0,62.5%,12.3,2.8,3-2-0,60.0%,18.2,0.0,Lsu,-15,−108,1-1-0,50.0%,0.0,8.3,Fla Gulf Cst,N/A,N/A,1-2-0,33.3%,5.7,1.3,10,80.7,3:00 PM,Pete Maravich Assembly Center,169,Fla Gulf Cst,47,Lsu,FGCU,Florida Gulf Coast,LSU,Louisiana State,N/A,N/A,False,-15,−108,False,Fla Gulf Cst,125-128-2,49.4%,0.9,0.1,48-59-1,44.9%,-5.8,-0.5,Lsu,361-396-16,47.7%,3.2,-0.5,177-187-9,48.6%,9.8,-0.2,Lsu,-15,−108,169-183-7,48.0%,-7.3,-0.5,Fla Gulf Cst,N/A,N/A,61-64-1,48.8%,5.0,-1.2,10,80.7,3:00 PM,Pete Maravich Assembly Center,169,Fla Gulf Cst,47,Lsu,FGCU,Florida Gulf Coast,LSU,Louisiana State,N/A,N/A,False,-15,−108,False,Fla Gulf Cst,106-114-1,48.2%,3.1,-0.1,46-51-0,47.4%,-3.1,0.2,Lsu,151-172-6,46.8%,3.3,-0.3,80-87-3,47.9%,9.5,0.3,Lsu,-15,−108,59-77-2,43.4%,-6.8,-0.8,Fla Gulf Cst,N/A,N/A,54-59-1,47.8%,4.8,-1.3
