Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,97.4,5:30 PM,The Greenbrier,15,Pittsburgh,33,Wisconsin,Pittsburgh,Pittsburgh,Wisconsin,Wisconsin,-2,−112,False,+2,−108,True,Pittsburgh,5-1-0,83.3%,25.7,8.3,0,0,0.0,0.0,Wisconsin,4-2-0,66.7%,16.8,3.9,3-2-0,60.0%,17.0,+2.5,Wisconsin,+2,−108,1-0-0,100.0%,15.0,19.5,Pittsburgh,-2,−112,5-1-0,83.3%,25.7,8.3
2,95.1,11:00 AM,Imperial Arena,18,St Johns,58,Georgia,Saint Johns,St. John'S,Georgia,Georgia,-6,−110,False,+6,−110,True,St Johns,5-1-0,83.3%,19.0,5.7,0,0,0.0,0.0,Georgia,3-3-0,50.0%,15.2,1.8,2-2-0,50.0%,23.5,+2.4,Georgia,+6,−110,0-1-0,0.0%,-11.0,-5.0,St Johns,-6,−110,4-1-0,80.0%,23.0,6.5
3,93.5,1:00 PM,Prudential Center,67,Villanova,24,Maryland,Villanova,Villanova,Maryland,Maryland,+6,−108,True,-6,−112,False,Villanova,2-4-0,33.3%,11.0,-2.6,0-1-0,0.0%,-7.0,-10.5,Maryland,3-2-0,60.0%,32.4,9.4,3-2-0,60.0%,32.4,+9.4,Villanova,+6,−108,0,0,0.0,0.0,Maryland,-6,−112,3-2-0,60.0%,32.4,9.4
4,93.3,12:30 PM,TD Arena,61,Miami,53,Vcu,Miami FL,Miami-Florida,VCU,VCU,+3,−112,True,-3,−108,False,Miami,1-4-0,20.0%,15.6,-5.5,0,0,0.0,0.0,Vcu,3-3-0,50.0%,14.2,1.3,2-1-0,66.7%,22.0,+1.8,Miami,+3,−112,0,0,0.0,0.0,Vcu,-3,−108,3-2-0,60.0%,17.6,1.9
4,93.3,3:00 PM,The Greenbrier,70,Ucf,48,Lsu,UCF,Central Florida,LSU,Louisiana State,+1,−112,True,-1,−108,False,Ucf,2-3-0,40.0%,2.2,-3.5,0,0,0.0,0.0,Lsu,2-3-0,40.0%,11.4,1.2,1-2-0,33.3%,19.0,-3.5,Ucf,+1,−112,1-1-0,50.0%,-6.5,-0.8,Lsu,-1,−108,1-2-0,33.3%,19.0,-3.5
6,91.8,3:00 PM,TD Arena,89,Oklahoma St,35,Nevada,Oklahoma State,Oklahoma State,Nevada,Nevada,+6.5,−112,True,-6.5,−108,False,Oklahoma St,1-4-0,20.0%,5.4,-1.8,0,0,0.0,0.0,Nevada,5-1-0,83.3%,13.8,6.3,4-0-0,100.0%,20.5,+10.1,Oklahoma St,+6.5,−112,1-1-0,50.0%,-1.0,2.0,Nevada,-6.5,−108,5-1-0,83.3%,13.8,6.3
7,89.1,8:30 PM,TD Arena,91,Drake,74,Vanderbilt,Drake,Drake,Vanderbilt,Vanderbilt,+4,−110,True,-4,−110,False,Drake,3-1-0,75.0%,18.4,9.4,0,0,0.0,0.0,Vanderbilt,4-2-0,66.7%,15.8,0.1,2-2-0,50.0%,19.3,-3.6,Drake,+4,−110,2-0-0,100.0%,11.5,17.5,Vanderbilt,-4,−110,3-2-0,60.0%,18.6,-0.8
8,88.7,8:00 PM,Sports and Fitness Center,87,Liberty,77,Kansas St,Liberty,Liberty,Kansas State,Kansas State,+4,−112,True,-4,−108,False,Liberty,4-1-0,80.0%,16.0,8.6,2-0-0,100.0%,11.5,14.8,Kansas St,1-4-0,20.0%,11.2,-11.1,0-4-0,0.0%,11.0,-14.8,Liberty,+4,−112,2-0-0,100.0%,11.5,14.8,Kansas St,-4,−108,1-4-0,20.0%,11.2,-11.1
9,87.2,6:00 PM,TD Arena,78,Fla Atlantic,102,Seton Hall,Florida Atlantic,Florida Atlantic,Seton Hall,Seton Hall,-2.5,−110,False,+2.5,−110,True,Fla Atlantic,3-3-0,50.0%,10.4,3.3,0-2-0,0.0%,-4.5,-1.3,Seton Hall,2-4-0,33.3%,2.5,-2.8,1-2-0,33.3%,9.7,-3.3,Seton Hall,+2.5,−110,1-1-0,50.0%,-6.5,-0.3,Fla Atlantic,-2.5,−110,2-1-0,66.7%,9.7,5.7
10,83.5,3:30 PM,Mohegan Sun Arena,127,U Mass,82,Florida St,Massachusetts,Massachusetts,Florida State,Florida State,N/A,N/A,False,-6,−108,False,U Mass,2-3-0,40.0%,0.4,-2.4,1-0-0,100.0%,-6.0,3.0,Florida St,4-2-0,66.7%,9.0,2.0,3-1-0,75.0%,9.3,+2.4,Florida St,-6,−108,0-1-0,0.0%,-13.0,-7.5,U Mass,N/A,N/A,1-2-0,33.3%,6.0,-2.2
11,82.9,12:00 PM,Thomas M. Ryan Center,117,Col Charlestn,110,Rhode Island,Charleston,Charleston,Rhode Island,Rhode Island,+3.5,−112,True,-3.5,−108,False,Col Charlestn,4-1-0,80.0%,4.4,-1.3,1-0-0,100.0%,15.0,3.0,Rhode Island,1-2-0,33.3%,24.5,6.3,1-2-0,33.3%,24.5,+6.3,Col Charlestn,+3.5,−112,0,0,0.0,0.0,Rhode Island,-3.5,−108,1-2-0,33.3%,22.0,6.3
