Rank,Hotness Score,Time,Location,Away Team Rank,Away Team,Home Team Rank,Home Team,Away Team DraftKings,Away Team Covers,Home Team DraftKings,Home Team Covers,Away Team Spread,Away Team Odds,Away Team Underdog,Home Team Spread,Home Team Odds,Home Team Underdog,Away Team Team,Away Team all_games_ATS Record,Away Team all_games_Cover %,Away Team all_games_MOV,Away Team all_games_ATS +/-,Away Team is_away_ATS Record,Away Team is_away_Cover %,Away Team is_away_MOV,Away Team is_away_ATS +/-,Home Team Team,Home Team all_games_ATS Record,Home Team all_games_Cover %,Home Team all_games_MOV,Home Team all_games_ATS +/-,Home Team is_home_ATS Record,Home Team is_home_Cover %,Home Team is_home_MOV,Home Team is_home_ATS +/-,Underdog is_dog Team,Underdog is_dog Spread,Underdog is_dog Odds,Underdog is_dog ATS Record,Underdog is_dog Cover %,Underdog is_dog MOV,Underdog is_dog ATS +/-,Favorite is_fav Team,Favorite is_fav Spread,Favorite is_fav Odds,Favorite is_fav ATS Record,Favorite is_fav Cover %,Favorite is_fav MOV,Favorite is_fav ATS +/-
1,98.5,9:00 PM,Fiserv Forum,17,Purdue,20,Marquette,Purdue,Purdue,Marquette,Marquette,+4.5,−108,True,-4.5,−112,False,Purdue,173-157-11,52.4%,10.0,1.1,44-56-5,44.0%,1.5,-0.9,Marquette,168-158-4,51.5%,4.7,0.4,86-86-0,50.0%,10.0,0.3,Purdue,+4.5,−108,31-29-2,51.7%,-2.8,1.1,Marquette,-4.5,−112,104-97-1,51.7%,10.6,0.4
2,89.3,8:00 PM,Jack Breslin Student Events Center,114,Samford,32,Michigan St,Samford,Samford,Michigan State,Michigan St.,+17,−105,True,-17,−115,False,Samford,141-139-5,50.4%,1.3,0.0,71-69-3,50.7%,-6.0,-1.1,Michigan St,185-161-3,53.5%,8.0,0.4,96-62-1,60.8%,15.3,1.4,Samford,+17,−105,73-79-5,48.0%,-9.3,-1.2,Michigan St,-17,−115,147-115-2,56.1%,11.9,0.6
3,87.0,8:00 PM,Allen Fieldhouse,136,Nc-Wilmgton,8,Kansas,UNCW,UNC Wilmington,Kansas,Kansas,N/A,N/A,False,-23,−110,False,Nc-Wilmgton,143-139-9,50.7%,2.7,0.2,64-64-6,50.0%,-3.4,-0.1,Kansas,179-170-5,51.3%,9.2,-0.1,75-76-4,49.7%,14.7,0.2,Kansas,-23,−110,22-27-1,44.9%,-6.7,-3.4,Nc-Wilmgton,N/A,N/A,70-74-3,48.6%,6.5,0.0
4,86.1,7:00 PM,Rupp Arena at Central Bank Center,138,Lipscomb,15,Kentucky,Lipscomb,Lipscomb,Kentucky,Kentucky,+22,−112,True,-22,−108,False,Lipscomb,128-113-3,53.1%,3.0,0.3,69-51-2,57.5%,-2.9,1.6,Kentucky,172-169-6,50.4%,10.6,0.4,86-87-2,49.7%,16.3,0.6,Lipscomb,+22,−112,64-39-2,62.1%,-5.9,2.6,Kentucky,-22,−108,142-145-5,49.5%,12.9,0.1
5,82.9,7:00 PM,Donald L. Tucker Center,128,Hofstra,97,Florida St,Hofstra,Hofstra,Florida State,Florida State,+7.5,−112,True,-7.5,−108,False,Hofstra,159-137-5,53.7%,5.7,0.6,85-50-4,63.0%,2.8,2.3,Florida St,157-163-7,49.1%,3.9,-0.4,85-70-4,54.8%,9.8,1.0,Hofstra,+7.5,−112,49-34-3,59.0%,-4.0,2.0,Florida St,-7.5,−108,101-107-7,48.6%,8.6,-0.9
6,78.3,7:00 PM,Truist Arena,10,Cincinnati,199,N Kentucky,Cincinnati,Cincinnati,Northern Kentucky,Northern Kentucky,-14,−108,False,+14,−112,True,Cincinnati,156-167-6,48.3%,8.3,0.4,50-59-3,45.9%,0.9,-0.7,N Kentucky,140-134-2,51.1%,4.1,0.5,59-61-1,49.2%,10.8,0.4,N Kentucky,+14,−112,55-49-0,52.9%,-6.3,1.3,Cincinnati,-14,−108,121-129-5,48.4%,11.9,0.7
7,76.5,10:00 PM,Leavey Center,146,Uc Riverside,129,Santa Clara,UC Riverside,UC Riverside,Santa Clara,Santa Clara,+8,−112,True,-8,−108,False,Uc Riverside,141-133-8,51.5%,-0.1,0.4,72-68-5,51.4%,-6.2,0.0,Santa Clara,150-142-8,51.4%,0.2,0.0,68-80-3,46.0%,3.9,-1.4,Uc Riverside,+8,−112,91-83-8,52.3%,-6.5,1.0,Santa Clara,-8,−108,64-72-2,47.1%,7.5,-0.4
8,74.3,9:00 PM,Welsh-Ryan Arena,212,Montana St,48,Northwestern,Montana State,Montana St.,Northwestern,Northwestern,+15,−112,True,-15,−108,False,Montana St,142-146-9,49.3%,0.6,-0.2,77-66-6,53.9%,-5.4,-0.2,Northwestern,156-150-9,51.0%,2.4,0.5,77-83-5,48.1%,8.0,0.3,Montana St,+15,−112,80-76-5,51.3%,-7.2,0.1,Northwestern,-15,−108,76-72-3,51.4%,10.9,0.6
9,69.5,8:30 PM,Joseph J. Gentile Arena,224,S Utah,85,Loyola-Chi,Southern Utah,Southern Utah,Loyola Chicago,Loyola-Chicago,+14,−110,True,-14,−110,False,S Utah,144-144-4,50.0%,0.5,-0.2,78-68-1,53.4%,-6.9,0.3,Loyola-Chi,164-154-4,51.6%,5.7,0.4,71-75-0,48.6%,11.6,0.3,S Utah,+14,−110,90-80-3,52.9%,-8.8,0.0,Loyola-Chi,-14,−110,108-107-3,50.2%,9.1,0.2
10,69.1,8:00 PM,Carver-Hawkeye Arena,244,Rider,43,Iowa,Rider,Rider,Iowa,Iowa,+21,−108,True,-21,−112,False,Rider,141-149-4,48.6%,0.3,0.0,75-74-3,50.3%,-3.0,0.3,Iowa,162-159-9,50.5%,6.2,0.7,93-68-5,57.8%,13.2,1.4,Rider,+21,−108,65-70-2,48.2%,-7.1,0.0,Iowa,-21,−112,110-93-5,54.2%,12.0,0.8
11,68.0,7:00 PM,Dale F. Halton Arena,200,Gard-Webb,141,Charlotte,,Gardner-Webb,Charlotte,Charlotte,N/A,N/A,False,-7,−110,False,Gard-Webb,115-103-2,52.8%,2.7,0.9,71-43-2,62.3%,-3.8,2.0,Charlotte,142-150-5,48.6%,-1.3,-0.4,78-57-3,57.8%,4.5,1.5,Charlotte,-7,−110,78-84-3,48.2%,-8.0,-0.7,Gard-Webb,N/A,N/A,49-62-2,44.1%,5.8,-0.5
12,66.2,7:00 PM,Williams Arena,249,Cleveland St,79,Minnesota,Cleveland State,Cleveland St.,Minnesota,Minnesota,+14.5,−112,True,-14.5,−108,False,Cleveland St,152-151-8,50.2%,-1.2,0.0,75-74-3,50.3%,-7.3,-0.2,Minnesota,151-160-6,48.6%,0.7,-0.2,89-77-4,53.6%,6.8,0.5,Cleveland St,+14.5,−112,96-87-4,52.5%,-8.3,0.2,Minnesota,-14.5,−108,74-63-3,54.0%,10.1,0.4
13,65.1,8:00 PM,Great Southern Bank Arena,184,Tx-Arlington,180,Missouri St,UT Arlington,Texas-Arlington,Missouri State,Missouri St.,+2,−108,True,-2,−112,False,Tx-Arlington,158-133-7,54.3%,3.1,0.8,78-72-3,52.0%,-3.0,1.3,Missouri St,144-153-10,48.5%,2.0,-0.3,65-68-4,48.9%,7.3,-0.5,Tx-Arlington,+2,−108,75-56-3,57.3%,-5.6,2.7,Missouri St,-2,−112,77-82-5,48.4%,6.8,-0.3
14,63.7,7:00 PM,Value City Arena,280,Evansville,30,Ohio St,Evansville,Evansville,Ohio State,Ohio St.,+27,−112,True,-27,−108,False,Evansville,140-156-6,47.3%,-2.2,-1.0,60-71-1,45.8%,-9.9,-2.4,Ohio St,159-171-5,48.2%,5.8,0.2,89-83-3,51.7%,12.5,0.8,Evansville,+27,−112,90-101-3,47.1%,-9.7,-1.5,Ohio St,-27,−108,108-108-3,50.0%,11.5,0.4
15,63.5,7:00 PM,Purcell Pavilion at the Joyce Center,276,North Dakota,55,Notre Dame,North Dakota,North Dakota,Notre Dame,Notre Dame,+19,−110,True,-19,−110,False,North Dakota,137-149-4,47.9%,-1.2,0.0,66-82-1,44.6%,-8.3,-0.3,Notre Dame,155-159-7,49.4%,3.9,-0.3,70-80-3,46.7%,9.4,-1.2,North Dakota,+19,−110,98-101-3,49.3%,-8.2,0.0,Notre Dame,-19,−110,77-94-4,45.0%,8.0,-1.6
16,63.0,7:00 PM,William B. Finneran Pavilion,267,U Penn,78,Villanova,,Pensylvania,Villanova,Villanova,N/A,N/A,False,-15,−105,False,U Penn,120-118-4,50.4%,0.6,-0.5,55-58-3,48.7%,-3.4,-0.8,Villanova,194-155-5,55.6%,10.0,0.5,78-63-1,55.3%,14.6,0.5,Villanova,-15,−105,23-21-2,52.3%,-4.1,-0.2,U Penn,N/A,N/A,64-52-1,55.2%,6.3,-0.1
17,61.6,7:00 PM,UPMC Cooper Fieldhouse,220,Wi-Milwkee,163,Duquesne,Milwaukee,Milwaukee,Duquesne,Duquesne,+5.5,−108,True,-5.5,−112,False,Wi-Milwkee,138-158-5,46.6%,-0.8,-0.7,72-65-3,52.6%,-5.8,-0.2,Duquesne,141-152-3,48.1%,0.2,-0.7,68-79-1,46.3%,4.3,-1.1,Wi-Milwkee,+5.5,−108,83-80-3,50.9%,-7.0,0.4,Duquesne,-5.5,−112,68-81-1,45.6%,5.6,-1.8
18,60.2,7:00 PM,Lawrence Joel Veterans Memorial Coliseum,285,W Carolina,72,Wake Forest,,Western Carolina,Wake Forest,Wake Forest,N/A,N/A,False,-22,−110,False,W Carolina,141-143-5,49.7%,-2.0,-0.2,79-72-2,52.3%,-8.4,-0.2,Wake Forest,149-155-6,49.0%,0.4,0.1,78-70-5,52.7%,5.8,0.7,Wake Forest,-22,−110,78-90-1,46.4%,-8.1,-0.5,W Carolina,N/A,N/A,45-43-3,51.1%,6.6,1.2
19,56.7,7:30 PM,Curb Event Center,243,Oral Roberts,165,Belmont,,Oral Roberts,Belmont,Belmont,N/A,N/A,False,-10,−112,False,Oral Roberts,133-147-6,47.5%,2.0,0.1,64-83-4,43.5%,-6.0,-0.7,Belmont,163-143-6,53.3%,7.7,0.4,72-53-3,57.6%,13.8,1.3,Belmont,-10,−112,34-30-2,53.1%,-5.5,0.6,Oral Roberts,N/A,N/A,63-63-2,50.0%,8.0,0.7
20,56.4,7:30 PM,Avron B. Fogelman Arena in Devlin Fieldhouse,260,Beth-Cook,153,Tulane,Bethune-Cookman,Bethune-Cookman,Tulane,Tulane,+12,−110,True,-12,−110,False,Beth-Cook,80-90-4,47.1%,-2.2,-0.6,36-58-3,38.3%,-9.9,-2.1,Tulane,129-149-6,46.4%,-2.1,-0.5,57-75-2,43.2%,2.4,-1.1,Beth-Cook,+12,−110,52-58-3,47.3%,-11.1,-0.6,Tulane,-12,−110,48-57-1,45.7%,5.9,-1.5
21,56.2,8:30 PM,Cajundome,209,Rice,215,Louisiana,Rice,Rice,Louisiana-Lafayette,Lafayette,+4.5,−108,True,N/A,N/A,False,Rice,136-146-8,48.2%,-1.3,-0.1,61-65-2,48.4%,-6.9,0.1,Louisiana,143-142-7,50.2%,4.6,-0.1,58-54-5,51.8%,11.6,0.2,Rice,+4.5,−108,88-96-5,47.8%,-8.0,0.0,Louisiana,N/A,N/A,95-80-4,54.3%,7.1,0.3
